,Comuna,Latitud,Longitud,Alias,Precipitacion,Grupo
0,Calera de Tango,-33.63026,-70.75037,Almendros,59.0,RM
1,Calera de Tango,-33.64388888888889,-70.83833333333332,Condominio SCdL,46.0,RM
2,Cerrillos,-33.5071009,-70.708747,Rocío,33.0,RM
3,Cerro Navia,-33.41513,-70.72882,Angostura,33.0,RM
4,Colina,-33.307339,-70.660102,Chamisero,23.8,RM
5,Colina,-33.260994,-70.644855,Ñipa,21.0,RM
6,Colina,-33.2539999,-70.6294618,Piedraroja,20.0,RM
7,Colina,-33.235,-70.673333,Chicureo,18.5,RM
8,Conchalí,-33.38773,-70.65886,Conchalí 1,29.0,RM
9,Curacaví,-33.393795,-71.03482,Tenca - WS2K,48.5,RM
10,El Bosque,-33.5594024,-70.665702,Chancaleo,38.0,RM
11,El Bosque,-33.563922,-70.6701799,SevenAlan,34.0,RM
12,Estacion Central,-33.27274,-70.41349,Leonel Oviedo,28.0,RM
13,Huechuraba,-33.3799,-70.62178,El Barrero,32.0,RM
14,La Cisterna,-33.529296,-70.648256,Chayanne,47.0,RM
15,La Cisterna,-33.5279343,-70.6488591,ElectroAdo,39.0,RM
16,La Cisterna,-33.51955,-70.65685,Arimikachi,34.0,RM
17,La Cisterna,-33.2946,-70.3908,Sanex0,30.0,RM
18,La Cisterna,-33.52055555555555,-70.66583333333334,Elparrita,26.5,RM
19,La Cisterna ,-33.52583,-70.667812,San Simón,32.0,RM
20,La Cisterna ,-33.52759,-70.67842,Zcs,30.0,RM
21,La Cisterna ,-33.52158,-70.6577,Liceo RBL,27.0,RM
22,La Florida,-33.5387504,-70.58643,MDM,40.5,RM
23,La Florida,-33.566723,-70.592142,Guacolda,39.0,RM
24,La Florida,-33.53039167,-70.56961667,Casa_Sary,34.5,RM
25,La Florida,-33.53132,-70.56046,Bougainvillea,32.0,RM
26,La Florida,-33.53493,-70.57879,Costa Rica,30.0,RM
27,La Florida,-33.529856,-70.587167,El Limón,30.0,RM
28,La Florida,-33.52336,-70.56212,Miravalle,28.5,RM
29,La Florida ,-33.5260817,-70.5245883,Lo Cañas,42.3,RM
30,La Granja,-33.5503022,-70.6243832,Casa Rodrigo Rojas,38.0,RM
31,La Granja,-33.53215,-70.61203,Casa Exequiel,31.0,RM
32,La Granja,-33.54114,-70.62564,ElPepeCharquis,26.0,RM
33,La Reina,-33.43648,-70.54493,asilvam,35.4,RM
34,La Reina,-33.459283,-70.56545,FG6189,33.0,RM
35,La Reina,-33.4325123,-70.5797009,thequeen,32.0,RM
36,La Reina,-33.445699,-70.553097,OpaHouse,30.0,RM
37,La Reina,-33.45683,-70.52308,Luciernaga,30.0,RM
38,La Reina,-33.44194,-70.56306,Tadeo,28.0,RM
39,La Reina,-33.434636,-70.522047,Petricor,27.0,RM
40,La Reina,-33.452259,-70.554147,San Benito,23.0,RM
41,Lampa,-33.238399,-70.763968,Batuco,45.0,RM
42,Lampa,-33.25,-70.8947,Malena,35.0,RM
43,Lampa,-33.255169,-70.881025,Lampa_Rural,32.0,RM
44,Las Condes,-33.40635,-70.51399,FECHITA,30.0,RM
45,Las Condes,-33.405679,-70.55212,pluv_lcbv,30.0,RM
46,Las Condes,-33.42053,-70.5582,Salvador,30.0,RM
47,Las Condes,-33.407573,-70.540641,Dominicos,28.0,RM
48,Las Condes,-33.426634,-70.587151,Teruel,27.0,RM
49,Las Condes,-33.39729444444444,-70.53663888888889,Calán - DGF,25.7,RM
50,Las Condes,-33.41069,-70.51004,Marley,25.0,RM
51,Las Condes,-33.41068,-70.51288,Boldo,25.0,RM
52,Las Condes,-33.37354,-70.5041,La Posada MK,24.0,RM
53,Las Condes,-33.379558,-70.519431,Huerta_JLG,21.0,RM
54,Las Pintana,-33.558016,-70.615033,Andy e Iván,40.0,RM
55,Lo Barnechea,-33.332691,-70.524816,Panorámica,26.0,RM
56,Lo Barnechea,-33.3497222222222,-70.5405555555556,Santa Blanca,26.0,RM
57,Lo Barnechea,-33.3297222,-70.5038889,JPMG,25.7,RM
58,Lo Barnechea,-33.356717,-70.479844,Arrayán - Estero,25.0,RM
59,Lo Barnechea,-33.363563,-70.496013,San Enrique,25.0,RM
60,Lo Barnechea,-33.359998,-70.476821,Las tres hermanas,24.0,RM
61,Lo Barnechea,-33.347133,-70.482523,Arrayán,22.0,RM
62,Lo Barnechea,-33.342583,-70.47025,POMcI,20.0,RM
63,Lo Espejo,-33.514491,-70.694431,Loespuno,44.0,RM
64,Lo Espejo,-33.32,-70.43,SendaBlack2025,36.0,RM
65,Maipu,-33.512062,-70.769442,Maipu_Templo,44.0,RM
66,Maipu,-33.5047663,-70.754341,Munich,39.0,RM
67,Maipu,-33.52789,-70.76574,Quincho,35.6,RM
68,Maipu,-33.55672433,-70.7812371,AMC,28.0,RM
69,Maipú,-33.498029,-70.741741,Tagua,42.0,RM
70,Maipú,-33.52718,-70.77573,Pepe Carter,40.0,RM
71,Maipú,-33.53931,-70.77602,Pingüino,35.0,RM
72,Ñuñoa,-33.4399552,-70.5770178,TOMACHO,32.0,RM
73,ñuñoa,-33.449216,-70.606639,sucre- PdV,30.0,RM
74,Ñuñoa,-33.445999,-70.588186,Pedro_Torres,28.0,RM
75,Ñuñoa,-33.450585,-70.591376,Brownpoint,27.0,RM
76,Olmue,-32.99055555555556,-71.18027777777779,Colibrí,29.0,RM
77,Padre Hurtado,-33.562211,-70.885686,Aromito,50.0,RM
78,Padre Hurtado,-33.571829,-70.826461,fcoelectro,42.0,RM
79,Paine,-33.820417,-70.741041,Probeta,40.0,RM
80,Pañalolén,-33.483862,-70.537926,rojo,31.0,RM
81,Pedro Aguirre Cerda,-33.4917,-70.675,Abranquil,38.0,RM
82,Pedro Aguirre Cerda,-33.49152,-70.689035,Lo Valledor,32.0,RM
83,Pedro Aguirre Cerda,-33.4987152,-70.6896665,Puente de patohi,27.0,RM
84,Pedro Aguirre Cerda,-33.4874038,-70.6606549,Panchito's house,26.0,RM
85,Peñalolén,-33.5005704,-70.535267,Pirquera,39.0,RM
86,Peñalolén,-33.504061,-70.529608,Jorge,34.0,RM
87,Peñalolén,-33.4733008,-70.5329882,CasaAnto,30.0,RM
88,Peñalolén,-33.4893921,-70.541795,Puyehue,25.0,RM
89,Peñalolén,-33.50167,-70.586438,Terra-Aqua,21.0,RM
90,Pirque,-33.6493055555556,-70.6056388888889,IsaPir,50.0,RM
91,Providencia,-33.436461,-70.620565,Ministro,31.0,RM
92,Providencia,-33.43551,-70.586153,El Belloto,31.0,RM
93,Providencia,-33.4401249,-70.600959,Tranqui,28.0,RM
94,Pudahuel,-33.466772,-70.86392,Ciudad de los Valles,38.2,RM
95,Pudahuel,-33.454455,-70.85234,MIGIOMI,37.9,RM
96,Pudahuel,-33.457778,-70.756944,Auquinco,36.0,RM
97,Pudahuel,-33.463888,-70.84333,AnGar,36.0,RM
98,Pudahuel,-33.4542521,-70.748249,Scandium,27.0,RM
99,Puente Alto,-33.58335,-70.58658,Jack2007,44.0,RM
100,Puente Alto,-33.5821241,-70.5858865,CasaPabla,43.0,RM
101,Puente Alto,-33.59039,-70.5734443,César3,41.0,RM
102,Puente Alto,-33.60863,-70.53107,Cordillera,41.0,RM
103,Quilicura,-33.35935,-70.72336,mawün,27.0,RM
104,Renca,-33.40343,-70.70815,Djoko,29.0,RM
105,San Bernardo,-33592121.0,-70707756.0,Saitama,45.0,RM
106,San Bernardo,-33.612675,-70.72276,Hueñimalal,42.0,RM
107,San Bernardo,-33.54938,-70.73424,Gaviota,45.0,RM
108,San Joaquín ,33.494504,70.626483,Barbara 2010,40.0,RM
109,San José de Maipo,-33.586952,-70.466303,Las Vertientes,55.0,RM
110,San José de Maipo,-33.5783328,-70.451299,El Canelo,45.0,RM
111,San José de Maipo,-33.59083,-70.48583,La Obra DGF,43.9,RM
112,San José de Maipo,-33.762359,-70.279106,pachamos,43.0,RM
113,San José de Maipo,-33.578198,-70.405527,Alicura,36.0,RM
114,San Miguel,-33.51119,-70.66195,Fajardo,35.5,RM
115,San Miguel,-33.4973,-70.6554,La Marina,35.0,RM
116,San Ramón,-33.528298,-70.6411026,Pep9,41.0,RM
117,Santiago,-33.45583333333334,-70.66250000000001,Beauchef,35.0,RM
118,Santiago,-33.456944444444446,-70.66166666666668,DGF,27.8,RM
119,Santiago  ,-33.4333882,-70.6584614,Ado,22.8,RM
120,Til Til,-33.003119,-70.999335,Los Quillayes,55.0,RM
121,Til Til,-33.0447222222222,-70.9913889,patorod,49.0,RM
122,Til Til,-33.002995,-70.997043,Profe Luis,46.0,RM
123,Til Til,-33.07089722222223,-70.98711388888889,Asiento Viejo,35.0,RM
124,Til Til,-33.04158333333333,-70.98044444444444,Caleu Las Cortaderas,33.0,RM
125,Til Til,-33.07638333333334,-70.94580555555557,Los Quilos ,29.5,RM
126,Til Til,-30.1512806,-70.8892361,La Plazuela,24.0,RM
127,Til Til,-33.095111111111116,-70.92550833333334,El Sauce,24.0,RM
128,Til Til,-33.118275,-70.84519444444445,Punta Peuco,16.0,RM
129,Til Til,-33.135,-70.7972222,Huertos Familiares,16.0,RM
130,Til Til,-33.11244444444445,-70.79876944444445,Santa Matilde,15.5,RM
131,Til Til,-32.99071111111111,-70.89506111111112,Rungue,15.0,RM
132,Til Til,-33.164083,-70.787468,AEM Til Til,13.0,RM
133,Til Til,-32.96924166666667,-70.83778333333333,Montenegro,13.0,RM
134,Til Til,-32.93295833333333,-70.81376388888889,La Cumbre,12.0,RM
135,Til Til,-32.94729722222222,-70.75080833333334,Rincón de los Valle,11.0,RM
136,TilTil,-33.07725555555556,-70.9251,TilTil Centro,24.0,RM
137,Vitacura,-33.383186,-70.579557,Borderío,28.2,RM
138,Vitacura,-33.38146,-70.55663,Auri-001,28.0,RM
139,Vitacura,-33.38783,-70.553479,Escultor,26.0,RM
140,Vitacura,-33.3890092,-70.5560782,Villa El Dorado,23.0,RM
141,Alhue,-34.029166,-70.994999,El Asiento INIA,32.5,EMA
142,Alhue,-34.065,71.2538888,Alhué,24.4,EMA
143,Buin,-33.718611111,-70.66917,Santa Rita,64.6,EMA
144,Buin,-33.711666,-70.711944,Los Tilos (INIA),56.5,EMA
145,Buin,-33.7986592,-70.8413394,Valdivia de Paine,53.0,EMA
146,Buin,-33.707222,-70.707222,Buin FDF,49.0,EMA
147,Buin,-33.754444,-70.764444,El Milagro DMC,32.6,EMA
148,Calera de Tango,-33.624999,-70.799444,Calera de Tango FDF,38.0,EMA
149,Colina,-33.2488,-70.72322,Chacabuco - INIA,23.5,EMA
150,Colina,-33.113888,-70.685833,Peldehue Ad DMC,11.3,EMA
151,Colina,-33.218888,-70.715833,Colina FDF,10.2,EMA
152,Colina,-33.268054,-70.732221,Lo Pinto DMC,9.9,EMA
153,Colina,-33.1471111,-70.6602222,Peldehue Agromet,8.2,EMA
154,Curacaví,-33.429661,-71.029152,La Aurora,37.2,EMA
155,Curacaví,-33.43861,-71.025554,Curacaví FDF,36.6,EMA
156,El Monte,-33.691944,-71.101111,El Monte FDF,31.6,EMA
157,Isla de Maipo,-33.763888,-70.886666,Isla de Maipo FDF,32.6,EMA
158,Isla de Maipo,-33.725554,-71.042499,Sn Antonio Naltahua INIA,32.0,EMA
159,La Granja,-33.572777,-70.619721,La Platina (INIA),37.5,EMA
160,La Reina,-33.45528,-70.54222,Aer. Tobalaba DMC,29.0,EMA
161,Lampa,-33.34368,-70.8185,Chorrillos,29.2,EMA
162,Lampa,-33.286388,-70.83611,El Oasis INIA,24.5,EMA
163,Maipú,-33.497221,-70.845555,Rinconada INIA,43.4,EMA
164,María Pinto,-33.508555,-71.084029,El Parrón,23.0,EMA
165,Melipilla,-33.586666,-70.99611,Mallarauco FDF,32.8,EMA
166,Melipilla,-33.650277,-71.100277,Melipilla FDF,26.4,EMA
167,Padre Hurtado,-33.562443,-70.875305,El Villorio,41.2,EMA
168,Paine,-33.861944,-70.639166,Huelquén FDF,60.6,EMA
169,Pudahuel,-33.442221,-70.746666,San Pablo DMC,32.8,EMA
170,Pudahuel,-33.37833,-70.79639,Aer. Pudahuel DMC,26.3,EMA
171,Pudahuel,-33.458055,-70.94861,Lo Prado DMC,24.0,EMA
172,Quipué,-33.1686089,-71.1557171,Colliguay,31.0,EMA
173,San Antonio,-33.736215,-71.421579,Cuncumén INIA,16.3,EMA
174,San José de Maipo,-33.615277,-70.350555,Guayacan DMC,20.9,EMA
175,San Pedro,-33.898055,-71.452777,San Pedro Melipilla  INIA,18.5,EMA
176,San Pedro,-33.8913888,-71.3941667,San Pedro,10.2,EMA
177,Santiago,-33.445,-70.67778,Q. Normal DMC,32.6,EMA
178,Talagante,-33.668744,-70.912195,Santa Amelia,45.3,EMA
179,Talagante,-33.673332,-70.92111,Talagante FDF,36.9,EMA
180,Talagante,-33.670277,-70.849444,Talagante DMC,32.4,EMA
181,Til Til,-33.121388,-70.834166,Til Til FDF,20.6,EMA
182,Til Til,-33.123888,-70.828054,Polpaico DMC,16.5,EMA
