,Comuna,Latitud,Longitud,Alias,Precipitacion,Grupo
0,Calera de Tango,-33.63026,-70.75037,Almendros,1.0,RM
1,Calera de Tango,-33.64388888888889,-70.83833333333332,Condominio SCdL,0.0,RM
2,Colina,-33.307339,-70.660102,Chamisero,1.4,RM
3,Colina,-33.235,-70.673333,Chicureo,1.0,RM
4,Conchalí,-33.38773,-70.65886,Conchalí 1,2.0,RM
5,Curacaví,-33.374,-71.1806,El Mauco La Yaca,2.0,RM
6,La Cisterna,-33.527854,-70.669636,Nueva España,0.5,RM
7,La Florida,-33.51899,-70.52299,Alto Macul,5.0,RM
8,La Florida,-33.53039167,-70.56961667,Casa_Sary,3.5,RM
9,La Florida,-33.5387504,-70.58643,MDM,3.0,RM
10,La Florida,-33.566723,-70.592142,Guacolda,2.0,RM
11,La Reina,-33.43648,-70.54493,asilvam,9.2,RM
12,La Reina,-33.434636,-70.522047,Petricor,4.8,RM
13,La Reina,-33.45498,-70.56382,Nazarit,3.8,RM
14,La Reina,-33.459283,-70.56545,FG6189,3.5,RM
15,Lampa,-33.32,-70.75,Valle Grande,1.0,RM
16,Las Condes,-33.41069,-70.51004,Marley,7.0,RM
17,Las Condes,-33.405679,-70.55212,pluv_lcbv,6.0,RM
18,Las Condes,-33.37354,-70.5041,La Posada MK,5.0,RM
19,Las Condes,-33.40635,-70.51399,FECHITA,4.5,RM
20,Las Condes,-33.426634,-70.587151,Teruel,4.0,RM
21,Lo Barnechea,-33.31861,-70.233055,trespuntas,52.2,RM
22,Lo Barnechea,-33.356717,-70.479844,Arrayán - Estero,9.0,RM
23,Lo Barnechea,-33.330798,-70.5139946,LoBarnechea17,8.0,RM
24,Lo Barnechea,-33.3297222,-70.5038889,JPMG,7.6,RM
25,Lo Barnechea,-33.359998,-70.476821,Las tres hermanas,7.5,RM
26,Lo Barnechea,-33.332691,-70.524816,Panorámica,7.0,RM
27,Lo Barnechea,-33.363563,-70.496013,San Enrique,7.0,RM
28,Lo Barnechea,-33.3439,-70.4705,Arrayán,4.0,RM
29,Macul,33.4875,70.5981,GFA,2.0,RM
30,Maipu,-33.486,-70.76915,Teddy,0.0,RM
31,Maipú,-33.52718,-70.77573,Pepe Carter,0.7,RM
32,Navidad,-34.0597,-71.8955,Pumatumán,35.0,VI-R
33,Navidad,-34.0069,-71.8225,RAB REM,17.0,VI-R
34,Ñuñoa,-33.4609,-70.594277,Johow,7.0,RM
35,ñuñoa,-33.449216,-70.606639,sucre- PdV,4.0,RM
36,Ñuñoa,-33.4399552,-70.5770178,TOMACHO,4.0,RM
37,Ñuñoa,-33.4503,-70.5821,Gorostiaga,4.0,RM
38,Ñuñoa,-33.445253,-70.585837,Parque Pucará,3.0,RM
39,Ñuñoa,-33.445999,-70.588186,Pedro_Torres,3.0,RM
40,Ñuñoa,-33.4624675,-70.6271803,Tomás,2.5,RM
41,Ñuñoa,-33.456043,-70.598147,Morgana,2.1,RM
42,Ñuñoa,-33.452802,-70.611177,Pepi,2.0,RM
43,Olmue,-32.99055555555556,-71.18027777777779,Colibrí,3.0,V-R
44,Padre Hurtado,-33.571829,-70.826461,fcoelectro,0.0,RM
45,Padre Hurtado,-33.562211,-70.885686,Aromito,0.0,RM
46,Paico,-33.655,-71.0408,El Paico,0.6,RM
47,Paine,-33.820417,-70.741041,Probeta,9.0,RM
48,Peñafor,-33.6301566,-70.8862869,Berlín,0.0,RM
49,Peñalolén,-33.4893921,-70.541795,Puyehue,5.0,RM
50,Peñalolén,-33.5005704,-70.535267,Pirquera,4.0,RM
51,Peñalolén,-33.488425,-70.5301222,Com Eco Peñalolén,3.5,RM
52,Peñalolén,-33.4784758,-70.5516726,peñamex,3.0,RM
53,Peñalolén,-33.487568,-70.574487,Ciudadana,3.0,RM
54,Peñalolén,-33.504061,-70.529608,Jorge las Pircas,3.0,RM
55,Pirque,-33.62933,-70.54722,El Huingán,3.1,RM
56,Pirque,-33.626029,-70.536201,ApoloPirque,2.0,RM
57,Providencia,-33.43551,-70.586153,El Belloto,3.0,RM
58,Providencia,-33.44554,-70.61255,AVaras,2.3,RM
59,Providencia,-33.445057,-70.616973,Santaisa,2.2,RM
60,Providencia,-33.415555,-70.616476,El Rey,2.0,RM
61,Providencia,-33.4392,-70.6203,Providencia,2.0,RM
62,Pudahuel,-33.457778,-70.756944,Auquinco,0.0,RM
63,Pudahuel,-33.457359,-70.819123,Geol327,0.0,RM
64,Puente Alto,-33.601355,-70.515257,Vizcachas,4.2,RM
65,Puente Alto,-33.60863,-70.53107,Cordillera,3.0,RM
66,Puente Alto,-33.57219,-70.5778,Nemesio Vicuña,2.0,RM
67,Puente Alto,-33.5821241,-70.5858865,CasaPabla,1.9,RM
68,Quilicura,-33.3498598,-70.73458217,Lázaro,0.3,RM
69,San Bernardo,-33.612675,-70.72276,Hueñimalal,1.0,RM
70,San José de Maipo,-33.821315,-70.06249,Cordillera,43.0,RM
71,San José de Maipo,-33.822472,-70.224139,Puente El Cristo,37.0,RM
72,San José de Maipo,-33.578198,-70.405527,Alicura,31.0,RM
73,San José de Maipo,-33.58811,-70.397258,AMMA1,26.0,RM
74,San José de Maipo,-33.576059,-70.43879,RodrigoF,23.0,RM
75,San José de Maipo,-33.595436,-70.377091,PyG,22.0,RM
76,San José de Maipo,-33.57627777777778,-70.44894444444445,AWS El Canelo El Bajo,19.5,RM
77,San José de Maipo,-33.634484,-70.35255,San José,19.5,RM
78,San José de Maipo,-33.5783328,-70.451299,El Canelo,18.0,RM
79,San José de Maipo,-33.762359,-70.279106,El Ingenio,18.0,RM
80,San José de Maipo,-33.640904,-70.352198,San José de Maipo,18.0,RM
81,San José de Maipo,-33.621401,-70.350204,El Quillay,17.5,RM
82,San José de Maipo,-33.571349,-70.456669,Ngen-ko,16.0,RM
83,San José de Maipo,-33.697497,-70.334877,Melocotón,16.0,RM
84,San José de Maipo,-33.587699,-70.470749,Las Vertientes 1,11.0,RM
85,San Miguel,-33.51119,-70.66195,Fajardo,0.8,RM
86,San Miguel,-33.4973,-70.6554,La Marina,0.0,RM
87,Talagante,-33.6616396,-70.9290078,CasaCentro,0.2,RM
88,Til Til,-33.04158333333333,-70.98044444444444,Las Cortaderas,5.5,RM
89,Til Til,-33.07089722222223,-70.98711388888889,Asiento Viejo,5.0,RM
90,Til Til,-33.07638333333334,-70.94580555555557,Los Quilos ,1.2,RM
91,Til Til,-33.07725555555556,-70.9251,TilTil Centro,0.7,RM
92,Vitacura,-33.38146,-70.55663,Auri-001,6.0,RM
93,Vitacura,-33.38783,-70.553479,Escultor,5.0,RM
94,Vitacura,-33.383186,-70.579557,Borderío,3.3,RM
95,Algarrobo,-33.439,-71.624,Algarrobo (DGA),2.0,EMA
96,Alhue,-34.065,71.2538888,Alhué,12.6,EMA
97,Alhue,-34.07,-71.261,Alhue Auilamuta (DGA),8.4,EMA
98,Alhue,-34.029166,-70.994999,El Asiento INIA,5.5,EMA
99,Alhué,-34.078,-71.195,Barrera Loncha (DGA),9.1,EMA
100,Alhué,-34.035,-71.094,Villa Alhue (DGA),7.3,EMA
101,Buin,-33.707222,-70.707222,Buin FDF,2.2,EMA
102,Buin,-33.711666,-70.711944,Los Tilos (INIA),1.4,EMA
103,Buin,-33.718611111,-70.66917,Santa Rita,1.1,EMA
104,Buin,-33.7986592,-70.8413394,Valdivia de Paine,0.3,EMA
105,Calera de Tango,-33.624999,-70.799444,Calera de Tango FDF,0.9,EMA
106,CasaBlanca,-33.291,-71.289,Tapihue (DGA),0.3,EMA
107,Casablanca,-33.323,-71.411,Casablanca (DGA),0.1,EMA
108,Catemu,-32.758,-70.943,Catemu (DGA),1.7,EMA
109,Colina,-33.284,-70.651,Chicureo (DGA),1.2,EMA
110,Colina,-33.113888,-70.685833,Peldehue Ad (DMC),0.7,EMA
111,Colina,-33.218888,-70.715833,Colina FDF,0.6,EMA
112,Colina,-33.162222,-70.643055,Colina (DMC),0.4,EMA
113,Colina,-33.1471111,-70.6602222,Peldehue Agromet,0.4,EMA
114,Colina,-33.268054,-70.732221,Lo Pinto (DMC),0.3,EMA
115,Colina,-33.2488,-70.72322,Chacabuco - INIA,0.3,EMA
116,Curacavi,-33.411111,-71.167777,Curacavi (DMC),0.0,EMA
117,Curacaví,-33.51,-70.714,Pozo Cerrillos (DGA),0.5,EMA
118,Curacaví,-33.392,-71.121,Estadio Cuyuncavi (DGA),0.0,EMA
119,Curacaví,-33.438888,-71.025277,Panguiles (DGA),0.0,EMA
120,Curacaví,-33.43861,-71.025554,Curacaví FDF,0.0,EMA
121,Curacaví,-33.429661,-71.029152,La Aurora,0.0,EMA
122,El Monte,-33.706388,-71.008055,El Paico (DMC),0.8,EMA
123,El Monte,-33.691944,-71.101111,El Monte FDF,0.0,EMA
124,Hihuelas,-32.853,-71.121,Estero Rabuco (DGA),0.8,EMA
125,Isla de Maipo,-33.763888,-70.886666,Isla de Maipo FDF,0.4,EMA
126,Isla de Maipo,-33.725554,-71.042499,Sn Antonio Naltahua INIA,0.1,EMA
127,La Florida,-33.544999,-70.548333,AA La Florida (DMC),4.1,EMA
128,La Reina,-33.457907,-70.549017,Aer. Tobalaba (DMC),6.0,EMA
129,Lampa,-33.286388,-70.83611,El Oasis INIA,0.4,EMA
130,Lampa,-33.34368,-70.8185,Chorrillos,0.2,EMA
131,Las Condes,-33.394999,-70.536666,Calán (DGA),5.2,EMA
132,Limache,-33.098,-71.215,Lliu Lliu Embalse (DGA),1.4,EMA
133,Limache,-32.958,-71.345,Los Aromos (DGA),1.2,EMA
134,Llay Llay,-32.866,-70.848,Las Chilcas (DGA),0.8,EMA
135,Lo Barnechea,-33.344444,-70.363889,Estero Yerba Loca a/j San Fco. (DGA),11.9,EMA
136,Lo Barnechea,-33.3086111,-70.357222,Río San Francisco a/j estero Yerba Loca (DGA),10.8,EMA
137,Lo Barnechea,-33.338,-70.469,Parque El Arrayán (DGA),9.7,EMA
138,Lo Barnechea,-33.352,-70.313,Farellones (DGA),9.3,EMA
139,Lo Barnechea,-33.389,-70.373,Pozo La Junta (DGA),7.7,EMA
140,Lo Barnechea,-33.37361,-70.396388,Rio Molina a/j Sn. Fco. (DGA),7.7,EMA
141,Lo Barnechea,-33.370554,-70.451111,Mapocho - Almendros (DGA),6.5,EMA
