Eventos,ColorMin,ColorMax,ColorPaso,Escala,PaletaColores,MapaFondo
default,0.0,100.0,10.0,10.0,YlGnBu_09,Satelite
2025-05-26_2025-05-27,0.0,60.0,6.0,4.0,,
2025-05-17_2025-05-19,0.0,40.0,4.0,3.0,,
2025-05-07_2025-05-08,0.0,60.0,6.0,4.0,,
2025-03-30_2025-03-30,0.0,30.0,3.0,1.0,,
2024-10-07_2024-10-09,0.0,30.0,3.0,1.0,,
2024-09-22_2024-09-23,0.0,20.0,2.0,2.0,,
2024-08-05_2024-08-06,0.0,60.0,6.0,3.0,,
2024-08-01_2024-08-03,0.0,150.0,15.0,5.0,,
2024-06-21_2024-06-23,0.0,200.0,20.0,9.0,,
2024-06-17_2024-06-19,0.0,100.0,10.0,4.0,,
2024-06-13_2024-06-14,0.0,150.0,15.0,8.0,,
2024-06-08_2024-06-09,0.0,50.0,5.0,3.0,,
2024-05-20_2024-05-23,0.0,150.0,15.0,8.0,,
2024-05-20_2024-05-21,0.0,70.0,7.0,5.0,,
2024-05-07_2024-05-07,0.0,70.0,7.0,5.0,,
2023-06-22_2023-06-24,,,,,,
2023-06-08_2023-06-10,0.0,40.0,4.0,2.0,,
2023-05-21_2023-05-22,0.0,30.0,3.0,1.0,,
2023-04-29_2023-04-30,0.0,40.0,4.0,2.0,,
2022-11-12_2022-11-13,0.0,5.0,1.0,1.0,,
2022-09-08_2022-09-08,0.0,10.0,1.0,1.0,,
2022-08-16_2022-08-17,0.0,10.0,1.0,1.0,,
2022-08-14_2022-08-15,0.0,40.0,4.0,3.0,,
2022-08-06_2022-08-07,0.0,50.0,5.0,3.0,,
2022-07-13_2022-07-16,0.0,70.0,7.0,4.0,,
2022-07-06_2022-07-11,0.0,70.0,7.0,4.0,,
2022-07-01_2022-07-01,0.0,40.0,4.0,2.0,,
2022-06-23_2022-06-24,0.0,40.0,4.0,2.0,,
2022-06-03_2022-06-04,0.0,40.0,4.0,1.0,,
2022-06-01_2022-06-02,0.0,10.0,1.0,1.0,,
2022-04-26_2022-04-27,0.0,50.0,5.0,3.0,,
2021-09-11_2021-09-12,0.0,50.0,5.0,3.0,,
2021-09-07_2021-09-08,0.0,10.0,1.0,1.0,,
2021-08-18_2021-08-20,0.0,80.0,8.0,4.0,,
2021-06-24_2021-06-26,0.0,40.0,4.0,2.0,,
2021-05-20_2021-05-21,0.0,30.0,3.0,3.0,,
